description,category,amount
McDonald's order,Food,5101.63
Winter wear purchase,Clothing,1534.53
Clinic consultation,Medical,4091.85
Spotify premium,Entertainment,7834.03
Medicine purchase,Medical,7614.03
Online course,Education,2045.73
Electricity recharge,Electricity,8060.55
Domino's Pizza,Food,4241.41
Tuition fees,Education,4017.5
Gift shop,Others,2219.19
Online course,Education,8612.64
BESCOM electricity,Electricity,5609.1
Local boutique,Clothing,2788.6
Pantaloons bill,Clothing,4297.07
Electricity recharge,Electricity,9645.79
Uber ride,Travel,408.43
ATM withdrawal,Others,1412.63
Cafe Latte and Sandwich,Food,7658.32
Zara shopping,Clothing,3645.87
ATM withdrawal,Others,9155.28
Amusement park tickets,Entertainment,823.39
Tuition fees,Education,736.78
BESCOM electricity,Electricity,6566.24
Local Kirana Store,Groceries,4959.14
Local Kirana Store,Groceries,2790.76
McDonald's order,Food,3536.39
Daily fruits and milk,Groceries,76.8
TV repair charges,Electronics,5199.26
Train ticket,Travel,5401.63
Book store,Education,8444.84
Uber ride,Travel,9866.29
Zara shopping,Clothing,567.81
BESCOM electricity,Electricity,1641.35
Big Bazaar groceries,Groceries,2316.52
Tuition fees,Education,9308.29
Online course,Education,7221.92
D-Mart shopping,Groceries,6529.64
Amazon headphones,Electronics,3789.84
Train ticket,Travel,5468.7
ATM withdrawal,Others,1255.35
Concert entry,Entertainment,3844.27
Book store,Education,3842.59
Clinic consultation,Medical,5914.87
Gift shop,Others,1075.28
D-Mart shopping,Groceries,8440.08
Electricity recharge,Electricity,5306.35
Winter wear purchase,Clothing,4421.62
Stationery shopping,Education,1273.32
Ola cab,Travel,2459.0
Amusement park tickets,Entertainment,4125.69
Myntra fashion,Clothing,861.27
Charity donation,Others,3633.15
Book store,Education,6911.96
Big Bazaar groceries,Groceries,4432.93
Starbucks coffee,Food,5636.33
Amusement park tickets,Entertainment,5851.04
Winter wear purchase,Clothing,5447.51
Winter wear purchase,Clothing,742.81
Mobile purchase,Electronics,9555.17
Petrol station,Travel,299.29
TV repair charges,Electronics,7252.37
Burger King meal,Food,6989.05
Spotify premium,Entertainment,1810.36
Concert entry,Entertainment,6285.51
Tuition fees,Education,7476.99
Hospital lab tests,Medical,667.84
Flight booking,Travel,4796.86
Electronic shop bill,Electronics,8345.51
Pantaloons bill,Clothing,646.15
Uber ride,Travel,4479.83
Local Kirana Store,Groceries,4109.24
Hospital lab tests,Medical,5506.29
Cafe Latte and Sandwich,Food,5979.13
Tuition fees,Education,2014.3
Uber ride,Travel,7695.28
Pantaloons bill,Clothing,8583.41
Winter wear purchase,Clothing,9094.57
D-Mart shopping,Groceries,3145.94
Amusement park tickets,Entertainment,9112.85
Movie ticket,Entertainment,6800.63
Electronic shop bill,Electronics,4516.23
Monthly power charges,Electricity,7630.79
TV repair charges,Electronics,8113.11
Exam registration,Education,3569.51
Amusement park tickets,Entertainment,3548.15
Electronic shop bill,Electronics,6658.59
Zara shopping,Clothing,6143.91
Apollo Pharmacy,Medical,314.56
Uber ride,Travel,7040.47
Online course,Education,6925.04
BESCOM electricity,Electricity,4683.39
Laundry service,Others,7084.44
D-Mart shopping,Groceries,4553.7
Mobile purchase,Electronics,5427.03
Electricity recharge,Electricity,3361.89
Petrol station,Travel,7641.14
Medicine purchase,Medical,4312.38
Medicine purchase,Medical,694.71
Hospital lab tests,Medical,8482.11
Emergency room charges,Medical,2644.18
Netflix subscription,Entertainment,6230.82
ATM withdrawal,Others,9412.34
Starbucks coffee,Food,5132.26
Zara shopping,Clothing,3251.74
Domino's Pizza,Food,7570.07
Winter wear purchase,Clothing,3019.3
ATM withdrawal,Others,4348.66
Gift shop,Others,5819.41
Electricity recharge,Electricity,286.26
Petrol station,Travel,2940.66
Local boutique,Clothing,1290.04
TV repair charges,Electronics,4479.5
Myntra fashion,Clothing,811.45
Laptop accessories,Electronics,5677.34
Mobile purchase,Electronics,3799.2
Exam registration,Education,3759.37
Big Bazaar groceries,Groceries,2031.5
BESCOM electricity,Electricity,9991.94
Laptop accessories,Electronics,3339.46
Amusement park tickets,Entertainment,5810.02
Laptop accessories,Electronics,4200.02
Clinic consultation,Medical,2369.17
Domino's Pizza,Food,579.32
Apollo Pharmacy,Medical,5189.87
Gift shop,Others,3785.64
Concert entry,Entertainment,8086.64
D-Mart shopping,Groceries,5169.72
Hospital lab tests,Medical,7075.89
Petrol station,Travel,74.85
TNEB bill,Electricity,9195.95
Laundry service,Others,373.36
Cafe Latte and Sandwich,Food,3207.31
Concert entry,Entertainment,3495.4
Ola cab,Travel,8817.81
Petrol station,Travel,8244.86
Myntra fashion,Clothing,8831.48
Movie ticket,Entertainment,7443.36
Mobile purchase,Electronics,4977.6
Tuition fees,Education,5806.21
Winter wear purchase,Clothing,8137.65
Local boutique,Clothing,4713.83
Local Kirana Store,Groceries,1422.33
Tuition fees,Education,75.63
Amusement park tickets,Entertainment,1340.97
Big Bazaar groceries,Groceries,694.09
Petrol station,Travel,2325.41
Laundry service,Others,4205.01
Myntra fashion,Clothing,2795.88
BESCOM electricity,Electricity,1250.12
Electricity recharge,Electricity,1939.42
Flight booking,Travel,9372.97
Concert entry,Entertainment,6309.36
TNEB bill,Electricity,4997.27
Electronic shop bill,Electronics,8606.49
Adani power bill,Electricity,6089.55
Netflix subscription,Entertainment,9969.46
Online course,Education,1198.55
Burger King meal,Food,1357.79
Big Bazaar groceries,Groceries,9206.74
Netflix subscription,Entertainment,256.53
McDonald's order,Food,531.47
Exam registration,Education,6619.82
Monthly power charges,Electricity,1401.68
Electronic shop bill,Electronics,2536.21
TV repair charges,Electronics,4083.11
Burger King meal,Food,9058.62
Burger King meal,Food,7211.67
Adani power bill,Electricity,5258.97
Electronic shop bill,Electronics,2476.59
Clinic consultation,Medical,9602.23
Adani power bill,Electricity,9194.48
Clinic consultation,Medical,5125.27
Clinic consultation,Medical,3990.52
Stationery shopping,Education,4519.01
Apollo Pharmacy,Medical,1234.86
Exam registration,Education,386.49
Local Kirana Store,Groceries,4619.09
Electricity recharge,Electricity,6272.07
Petrol station,Travel,4346.27
McDonald's order,Food,6674.05
Tuition fees,Education,7018.6
Laptop accessories,Electronics,5508.95
Spotify premium,Entertainment,2219.08
Movie ticket,Entertainment,9842.49
Domino's Pizza,Food,6397.32
Apollo Pharmacy,Medical,4251.14
Vegetable market,Groceries,5151.21
Concert entry,Entertainment,1579.23
Myntra fashion,Clothing,261.38
Daily fruits and milk,Groceries,3185.52
Adani power bill,Electricity,4635.12
ATM withdrawal,Others,632.09
Domino's Pizza,Food,9464.69
Clinic consultation,Medical,2047.61
Tuition fees,Education,6732.6
Tuition fees,Education,6636.49
Amazon headphones,Electronics,4953.63
McDonald's order,Food,4278.24
Online course,Education,2448.63
Ola cab,Travel,3058.01
BESCOM electricity,Electricity,7442.8
Online course,Education,7363.54
Starbucks coffee,Food,1880.88
Vegetable market,Groceries,4259.95
Domino's Pizza,Food,4541.09
Netflix subscription,Entertainment,3116.16
Monthly power charges,Electricity,4533.43
Pantaloons bill,Clothing,2638.62
Uber ride,Travel,6083.23
Big Bazaar groceries,Groceries,3862.27
Electronic shop bill,Electronics,4528.27
Courier charges,Others,4268.76
Courier charges,Others,4308.23
Hospital lab tests,Medical,2693.8
Monthly power charges,Electricity,3826.31
Courier charges,Others,9703.04
Spotify premium,Entertainment,5397.83
Electricity recharge,Electricity,2477.21
Movie ticket,Entertainment,6952.62
Electricity recharge,Electricity,3550.34
Domino's Pizza,Food,3058.93
Netflix subscription,Entertainment,2573.13
Apollo Pharmacy,Medical,5779.06
Online course,Education,6476.86
Pantaloons bill,Clothing,1080.31
Apollo Pharmacy,Medical,4580.58
Laundry service,Others,2653.58
Train ticket,Travel,9048.84
Big Bazaar groceries,Groceries,6204.29
Burger King meal,Food,4017.65
Charity donation,Others,2712.81
BESCOM electricity,Electricity,5757.4
Book store,Education,9108.92
Amazon headphones,Electronics,5798.55
TV repair charges,Electronics,8234.17
Amazon headphones,Electronics,3007.57
Charity donation,Others,8383.97
Tuition fees,Education,927.06
Starbucks coffee,Food,8278.07
Train ticket,Travel,6574.2
Petrol station,Travel,6496.78
McDonald's order,Food,4973.48
Vegetable market,Groceries,9963.18
Uber ride,Travel,2555.22
Laundry service,Others,9964.95
Winter wear purchase,Clothing,1314.46
Cafe Latte and Sandwich,Food,8644.26
Amusement park tickets,Entertainment,7788.14
Adani power bill,Electricity,4431.58
Ola cab,Travel,3563.28
Spotify premium,Entertainment,2997.41
Emergency room charges,Medical,7611.92
Starbucks coffee,Food,3336.2
Laptop accessories,Electronics,1343.01
Electricity recharge,Electricity,2592.2
Electronic shop bill,Electronics,8716.78
Big Bazaar groceries,Groceries,7764.58
Charity donation,Others,1658.7
Tuition fees,Education,4946.44
Laptop accessories,Electronics,1668.19
Cafe Latte and Sandwich,Food,2685.37
Clinic consultation,Medical,2318.39
Electricity recharge,Electricity,6084.18
Local Kirana Store,Groceries,787.08
Book store,Education,3460.17
Adani power bill,Electricity,3825.72
Concert entry,Entertainment,3618.01
Gift shop,Others,3580.2
Medicine purchase,Medical,1758.2
Electricity recharge,Electricity,4886.26
TV repair charges,Electronics,4247.66
Flight booking,Travel,8795.56
Concert entry,Entertainment,423.39
Vegetable market,Groceries,3477.86
Flight booking,Travel,3859.7
Clinic consultation,Medical,5051.53
Amusement park tickets,Entertainment,7659.98
D-Mart shopping,Groceries,8314.67
TV repair charges,Electronics,3129.71
Gift shop,Others,4938.18
Adani power bill,Electricity,4639.82
Online course,Education,2700.51
TNEB bill,Electricity,7817.86
Big Bazaar groceries,Groceries,3050.94
Local boutique,Clothing,6490.53
Courier charges,Others,8287.98
ATM withdrawal,Others,5268.35
Monthly power charges,Electricity,7197.71
D-Mart shopping,Groceries,611.42
TNEB bill,Electricity,6583.27
Domino's Pizza,Food,8208.95
Courier charges,Others,9009.14
Spotify premium,Entertainment,484.37
Daily fruits and milk,Groceries,8065.19
Laptop accessories,Electronics,489.12
Monthly power charges,Electricity,3887.24
Local Kirana Store,Groceries,2352.73
Netflix subscription,Entertainment,2569.83
Tuition fees,Education,5497.87
TV repair charges,Electronics,9576.61
D-Mart shopping,Groceries,5251.66
Mobile purchase,Electronics,9939.05
Train ticket,Travel,2445.91
Burger King meal,Food,6394.17
TNEB bill,Electricity,6738.37
Local boutique,Clothing,9277.02
Domino's Pizza,Food,9585.77
D-Mart shopping,Groceries,6535.08
Flight booking,Travel,9286.61
Courier charges,Others,2531.55
Laptop accessories,Electronics,804.32
Cafe Latte and Sandwich,Food,6900.11
TV repair charges,Electronics,7868.28
Local boutique,Clothing,1556.3
Monthly power charges,Electricity,9197.93
Movie ticket,Entertainment,9978.55
Vegetable market,Groceries,2383.76
Courier charges,Others,2507.06
Movie ticket,Entertainment,8116.27
ATM withdrawal,Others,7202.67
Winter wear purchase,Clothing,4400.31
TNEB bill,Electricity,8937.32
Local Kirana Store,Groceries,8910.21
Local boutique,Clothing,4618.79
Exam registration,Education,8612.31
Local Kirana Store,Groceries,1053.27
BESCOM electricity,Electricity,243.05
Burger King meal,Food,7636.51
Flight booking,Travel,9274.04
Concert entry,Entertainment,5227.03
Online course,Education,996.37
Pantaloons bill,Clothing,1204.0
Hospital lab tests,Medical,5869.69
Adani power bill,Electricity,6819.95
Monthly power charges,Electricity,9966.78
Monthly power charges,Electricity,5218.66
Amusement park tickets,Entertainment,2996.63
TNEB bill,Electricity,9888.46
Book store,Education,3760.72
Winter wear purchase,Clothing,3979.96
Online course,Education,5822.95
BESCOM electricity,Electricity,6618.5
Apollo Pharmacy,Medical,5486.44
Local boutique,Clothing,4846.24
TV repair charges,Electronics,5324.21
Electronic shop bill,Electronics,6202.92
BESCOM electricity,Electricity,7186.74
Amusement park tickets,Entertainment,5593.21
Pantaloons bill,Clothing,8168.84
Gift shop,Others,3145.99
Apollo Pharmacy,Medical,4152.15
Cafe Latte and Sandwich,Food,4610.43
Laundry service,Others,8128.27
Laundry service,Others,3955.46
Gift shop,Others,4097.65
Amusement park tickets,Entertainment,1233.98
Laundry service,Others,3253.39
Petrol station,Travel,1548.07
Medicine purchase,Medical,2399.89
McDonald's order,Food,257.62
Medicine purchase,Medical,9190.6
D-Mart shopping,Groceries,5783.66
Concert entry,Entertainment,8621.41
Stationery shopping,Education,8329.88
Cafe Latte and Sandwich,Food,1264.76
Clinic consultation,Medical,8592.0
Amazon headphones,Electronics,6082.83
Netflix subscription,Entertainment,7769.92
Big Bazaar groceries,Groceries,375.01
BESCOM electricity,Electricity,715.23
Amazon headphones,Electronics,2035.14
Online course,Education,7314.03
Amazon headphones,Electronics,6547.88
Pantaloons bill,Clothing,8188.55
Monthly power charges,Electricity,2420.7
Clinic consultation,Medical,9933.95
Medicine purchase,Medical,3519.5
Big Bazaar groceries,Groceries,9022.79
Flight booking,Travel,462.09
Monthly power charges,Electricity,1742.27
Train ticket,Travel,6063.31
Zara shopping,Clothing,431.32
Hospital lab tests,Medical,7238.59
BESCOM electricity,Electricity,1459.64
Apollo Pharmacy,Medical,251.13
ATM withdrawal,Others,4089.31
TNEB bill,Electricity,5869.0
Starbucks coffee,Food,988.38
Amusement park tickets,Entertainment,7146.86
Zara shopping,Clothing,7460.51
Laundry service,Others,5918.12
Petrol station,Travel,5368.84
Online course,Education,1500.75
Pantaloons bill,Clothing,5589.24
TNEB bill,Electricity,2428.78
Netflix subscription,Entertainment,5595.99
Amazon headphones,Electronics,2619.75
TV repair charges,Electronics,5186.63
Courier charges,Others,6156.58
McDonald's order,Food,4838.59
Amusement park tickets,Entertainment,9241.79
Ola cab,Travel,8721.15
Stationery shopping,Education,2962.99
Amazon headphones,Electronics,3915.43
TV repair charges,Electronics,523.9
Cafe Latte and Sandwich,Food,1348.69
ATM withdrawal,Others,6295.5
Monthly power charges,Electricity,5563.24
Amazon headphones,Electronics,3118.23
Hospital lab tests,Medical,663.33
Amazon headphones,Electronics,6769.78
Spotify premium,Entertainment,9414.25
Stationery shopping,Education,8915.88
Stationery shopping,Education,2982.88
Flight booking,Travel,3825.0
Clinic consultation,Medical,8667.67
Big Bazaar groceries,Groceries,3637.93
Pantaloons bill,Clothing,6979.76
Pantaloons bill,Clothing,7365.07
Charity donation,Others,7834.48
Netflix subscription,Entertainment,3343.61
Pantaloons bill,Clothing,5263.42
Electronic shop bill,Electronics,1287.95
Monthly power charges,Electricity,5467.03
Flight booking,Travel,4024.4
Electronic shop bill,Electronics,5570.88
Electricity recharge,Electricity,2299.61
Electricity recharge,Electricity,9251.07
Charity donation,Others,5759.67
Clinic consultation,Medical,3774.87
Winter wear purchase,Clothing,4521.98
Exam registration,Education,2566.17
Zara shopping,Clothing,1599.42
Train ticket,Travel,2184.15
Big Bazaar groceries,Groceries,8179.65
TNEB bill,Electricity,6060.31
Train ticket,Travel,2587.01
Starbucks coffee,Food,8868.63
Winter wear purchase,Clothing,7726.14
Gift shop,Others,3523.65
Exam registration,Education,7432.85
Myntra fashion,Clothing,2339.54
Movie ticket,Entertainment,4281.6
Amazon headphones,Electronics,7308.75
Starbucks coffee,Food,8801.89
Charity donation,Others,7964.59
Netflix subscription,Entertainment,3223.87
TNEB bill,Electricity,6314.71
Adani power bill,Electricity,6186.09
Netflix subscription,Entertainment,6059.39
BESCOM electricity,Electricity,2408.99
Stationery shopping,Education,5359.13
Burger King meal,Food,3095.34
Uber ride,Travel,8575.92
Uber ride,Travel,1060.61
Burger King meal,Food,8946.91
Pantaloons bill,Clothing,3646.46
Charity donation,Others,1133.32
Tuition fees,Education,6847.08
Domino's Pizza,Food,9732.46
Apollo Pharmacy,Medical,9429.29
Exam registration,Education,1620.04
ATM withdrawal,Others,2311.73
Amazon headphones,Electronics,6225.63
Clinic consultation,Medical,5594.91
Winter wear purchase,Clothing,9978.95
TV repair charges,Electronics,1623.02
Winter wear purchase,Clothing,1577.29
Burger King meal,Food,2109.85
Flight booking,Travel,5362.1
TNEB bill,Electricity,6876.61
Vegetable market,Groceries,1264.63
Amusement park tickets,Entertainment,9645.32
Online course,Education,282.57
Petrol station,Travel,8602.7
Laundry service,Others,1082.26
Exam registration,Education,6666.11
Amusement park tickets,Entertainment,9147.69
Ola cab,Travel,53.0
Train ticket,Travel,9756.06
Apollo Pharmacy,Medical,8768.53
Laundry service,Others,5406.76
Laundry service,Others,4935.92
Daily fruits and milk,Groceries,4811.63
TV repair charges,Electronics,8816.72
Local boutique,Clothing,8014.36
Movie ticket,Entertainment,9786.75
TNEB bill,Electricity,2757.08
D-Mart shopping,Groceries,4950.69
Big Bazaar groceries,Groceries,1269.78
Starbucks coffee,Food,4909.57
Train ticket,Travel,3197.3
Electricity recharge,Electricity,6608.65
Local boutique,Clothing,9737.05
Petrol station,Travel,1567.87
Uber ride,Travel,951.37
Stationery shopping,Education,4971.01
Charity donation,Others,7715.34
BESCOM electricity,Electricity,4699.32
